step,loss,acc
0,2.562093734741211,0.1328125
100,1.9252796173095703,0.3046875
200,2.3736684322357178,0.109375
300,2.075819969177246,0.3125
400,2.598906993865967,0.046875
500,1.9956878423690796,0.2734375
600,2.571056604385376,0.1015625
700,1.9939725399017334,0.3046875
800,2.469390392303467,0.0859375
900,2.2059683799743652,0.21875
1000,2.489140272140503,0.109375
1100,2.165522336959839,0.265625
1200,2.3281784057617188,0.125
1300,2.096029281616211,0.265625
1400,2.4129178524017334,0.078125
1500,2.176626682281494,0.1796875
1600,2.5737144947052,0.09375
1700,2.064603805541992,0.25
1800,2.5397543907165527,0.078125
1900,2.2206437587738037,0.25
2000,2.029115915298462,0.1484375
2100,1.782577395439148,0.3203125
2200,1.91693115234375,0.2421875
2300,1.7695330381393433,0.34375
2400,2.040677309036255,0.15625
2500,1.8022230863571167,0.3046875
2600,2.0078728199005127,0.2109375
2700,1.7810142040252686,0.328125
2800,2.2178945541381836,0.1796875
2900,2.0184216499328613,0.21875
3000,2.0947084426879883,0.1953125
3100,1.851582407951355,0.28125
3200,2.3384928703308105,0.15625
3300,1.8232327699661255,0.28125
3400,2.3436520099639893,0.1328125
3500,1.8585628271102905,0.328125
3600,2.0642805099487305,0.1875
3700,2.6237564086914062,0.078125
3800,1.9420653581619263,0.1875
3900,1.5936055183410645,0.359375
4000,1.7631365060806274,0.2890625
4100,1.584605097770691,0.3515625
4200,1.8608369827270508,0.28125
4300,1.6834361553192139,0.3125
4400,1.7304259538650513,0.265625
4500,1.7499539852142334,0.359375
4600,1.7067488431930542,0.328125
4700,1.5890642404556274,0.4375
4800,1.7759708166122437,0.3046875
4900,1.666483759880066,0.359375
