step,loss,acc
0,2.351506233215332,0.078125
100,2.2214386463165283,0.1796875
200,2.3125524520874023,0.1171875
300,2.2139475345611572,0.1953125
400,2.381695032119751,0.1015625
500,2.1825335025787354,0.1953125
600,2.1865885257720947,0.1796875
700,2.1423919200897217,0.09375
800,1.504875659942627,0.3203125
900,1.0884982347488403,0.4453125
1000,0.8650997877120972,0.671875
1100,0.3877158463001251,0.9453125
1200,0.45846396684646606,0.8046875
1300,1.186943769454956,0.7265625
1400,0.2510858476161957,0.9296875
1500,0.14834758639335632,0.984375
1600,0.4838079810142517,0.875
1700,0.02953518182039261,1.0
1800,0.008164536207914352,1.0
1900,0.003381814807653427,1.0
2000,0.49871310591697693,0.7890625
2100,0.016763553023338318,1.0
2200,0.011437229812145233,1.0
2300,0.004258003085851669,1.0
2400,0.0023117326200008392,1.0
2500,0.0012228265404701233,1.0
2600,0.000643216073513031,1.0
2700,0.00038000941276550293,1.0
2800,1.7356961965560913,0.1796875
2900,1.1551008224487305,0.375
3000,0.365877240896225,0.859375
3100,0.10244007408618927,0.984375
3200,0.022508438676595688,1.0
3300,0.2535470724105835,0.8671875
3400,0.01107017695903778,1.0
3500,0.003488142043352127,1.0
3600,0.0019502677023410797,1.0
3700,4.690330505371094,0.1484375
3800,1.3387978076934814,0.3671875
3900,0.21991842985153198,1.0
4000,0.02242620289325714,1.0
4100,0.007522024214267731,1.0
4200,0.5302252173423767,0.7421875
4300,0.013285279273986816,1.0
4400,0.005026787519454956,1.0
4500,0.0021362751722335815,1.0
4600,0.0012969039380550385,1.0
4700,0.0006972998380661011,1.0
4800,0.00043964385986328125,1.0
4900,0.00025673210620880127,1.0
