step,loss,acc
0,2.476815700531006,0.078125
100,2.0784475803375244,0.3125
200,1.9724509716033936,0.1484375
300,1.8485350608825684,0.234375
400,1.860285758972168,0.21875
500,1.8580985069274902,0.2265625
600,1.9093525409698486,0.1875
700,1.959089756011963,0.2421875
800,1.9385484457015991,0.21875
900,1.8652840852737427,0.28125
1000,1.8811396360397339,0.1796875
1100,1.9136098623275757,0.21875
1200,1.8251575231552124,0.2109375
1300,1.801737904548645,0.265625
1400,1.9838684797286987,0.2109375
1500,1.6503639221191406,0.3671875
1600,1.828667163848877,0.203125
1700,1.5562479496002197,0.4140625
1800,1.7344939708709717,0.28125
1900,1.6660816669464111,0.3125
2000,1.8545889854431152,0.21875
2100,1.5652973651885986,0.453125
2200,1.7759981155395508,0.265625
2300,1.7790778875350952,0.2578125
2400,1.8634566068649292,0.1953125
2500,1.7398436069488525,0.2890625
2600,1.913577914237976,0.21875
2700,1.8727736473083496,0.2578125
2800,1.9673357009887695,0.2265625
2900,1.7423218488693237,0.3515625
3000,1.8974013328552246,0.2734375
3100,1.7141830921173096,0.3359375
3200,1.8405574560165405,0.28125
3300,1.7405247688293457,0.3203125
3400,2.378321886062622,0.078125
3500,2.271404504776001,0.140625
3600,2.4104671478271484,0.1484375
3700,2.2384982109069824,0.1875
3800,2.3609933853149414,0.078125
3900,2.189962863922119,0.1953125
4000,2.454231023788452,0.1171875
4100,2.0994391441345215,0.234375
4200,1.3016852140426636,0.4921875
4300,0.8875327110290527,0.578125
4400,1.009714126586914,0.5390625
4500,0.8167411088943481,0.453125
4600,0.5444401502609253,0.734375
4700,0.8197025060653687,0.609375
4800,0.48978835344314575,0.7578125
4900,0.20142589509487152,0.9609375
