step,loss,acc
271,1.5963462803429582,0.4
272,1.5997023565951776,0.4
273,1.6145350446298579,0.445
274,1.649523355581996,0.395
275,1.629447070842396,0.415
276,1.7141194459636397,0.425
277,1.787588755004169,0.38
278,1.7259519112417772,0.38
279,1.6493635285667225,0.46
280,1.5526633422703169,0.47
281,1.5721121691475606,0.415
282,1.5672125636386887,0.41
283,1.5923293022509568,0.43
284,1.6669140500242656,0.41
285,1.5004200011642994,0.455
286,1.5233895752363673,0.42
287,1.7790066933460082,0.385
288,1.5869223905356777,0.46
289,1.6160022103084857,0.41
290,1.563421540898244,0.455
291,1.557952537329454,0.475
292,1.6367939297767629,0.39
293,1.539496394795039,0.465
294,1.487145722660693,0.455
295,1.6152491743413095,0.42
296,1.6962238912788876,0.43
297,1.6000262221215205,0.45
298,1.5463924869356556,0.465
299,1.556246148653867,0.435
300,1.8307079882115391,0.305
301,1.6463193678309171,0.385
302,1.6864119786265541,0.395
303,1.7080720742383733,0.355
304,1.6544943701234995,0.405
305,1.5619988755602234,0.45
306,1.650562340873235,0.43
307,1.4135473286073412,0.495
308,1.604162034059602,0.435
309,1.6148975488665676,0.435
310,1.49550281716266,0.42
311,1.7105320155215362,0.395
312,1.5642922013609664,0.39
313,1.6854018274355673,0.405
314,1.6467203893063136,0.415
315,1.6247058404528116,0.455
316,1.5042308470217465,0.465
317,1.472062818702545,0.505
318,1.542892936829353,0.485
319,1.7318973599350294,0.355
320,1.539320227380074,0.455
321,1.615644893460653,0.455
322,1.604065252828094,0.46
323,1.5716848140003754,0.45
324,1.5451928181469867,0.42
325,1.6791470750791175,0.405
326,1.7023352506109983,0.405
327,1.6176936522065684,0.425
328,1.4856401036521607,0.495
329,1.615826992999229,0.425
330,1.610010571426387,0.42
331,1.6454457294625884,0.415
332,1.5491955104785047,0.45
333,1.5620232946056711,0.425
334,1.6266710057424703,0.45
335,1.5729473384011623,0.515
336,1.6165936007950534,0.42
337,1.5395139518569303,0.465
338,1.6243029168988188,0.455
339,1.509507747476228,0.39
340,1.6155356322179675,0.44
341,1.523313673250933,0.445
342,1.7324424962189953,0.4
343,1.6148520504192792,0.47
344,1.6310691780458206,0.4
345,1.5488421986349499,0.445
346,1.6730190779625498,0.415
347,1.5826525499126203,0.44
348,1.6143399783732,0.42
349,1.6041827201599592,0.495
350,1.5314647697672592,0.455
351,1.4490425488892391,0.495
352,1.6230937469112376,0.45
353,1.5679316953770521,0.445
354,1.5473861876478991,0.435
355,1.6563508598300933,0.47
356,1.510824527156632,0.435
357,1.6712509126361283,0.46
358,1.5573868723838395,0.465
359,1.629742055887521,0.4
360,1.5980007387841944,0.42
361,1.6022340935691413,0.44
362,1.5153775017136235,0.465
363,1.5964960887880495,0.475
364,1.6059205938994898,0.415
365,1.6390881242931872,0.425
366,1.5698279104581758,0.47
367,1.6516154999680999,0.42
368,1.671541246484313,0.405
369,1.7397007730018927,0.36
370,1.7569231260020162,0.345
371,1.7251961919963472,0.415
372,1.6081259628297533,0.45
373,1.4948133097021974,0.45
374,1.491152071419241,0.47
375,1.6352280268476955,0.465
376,1.5564138798488705,0.445
377,1.6004820919165372,0.385
378,1.4771133340467029,0.47
379,1.5196540754494592,0.495
380,1.6084667202208363,0.48
381,1.6226694121022847,0.445
382,1.7893751509177662,0.425
383,1.702516113570631,0.425
384,1.7373207093274896,0.415
385,1.5928861223419524,0.42
386,1.494514185813418,0.4
387,1.597003240544542,0.44
388,1.6021061892769866,0.43
389,1.6120489800213307,0.43
390,1.6319360652802908,0.425
391,1.5798458315203185,0.42
392,1.5442911001153485,0.52
393,1.5806411759439047,0.455
394,1.5520259809559878,0.495
395,1.5081941377549481,0.455
396,1.5417762461587805,0.465
397,1.6501160662279797,0.395
398,1.6268679793758236,0.505
399,1.6560614291950142,0.43
400,1.7552145319448766,0.43
401,1.4699856762799846,0.515
402,1.568343809243391,0.45
403,1.467280033335419,0.52
404,1.5121872543017754,0.465
405,1.48797842902024,0.46
406,1.5926205293137565,0.45
407,1.655766215034035,0.375
408,1.526661132091822,0.45
409,1.5944254979335284,0.43
410,1.594476835795225,0.425
411,1.638897428417793,0.415
412,1.7721005687385651,0.35
413,1.6029457753847112,0.41
414,1.5307714198871036,0.45
415,1.485333317354031,0.485
416,1.735634901906399,0.39
417,1.4893494059103467,0.44
418,1.4937849776820458,0.485
419,1.7450058190964124,0.375
420,1.6430053199027168,0.43
421,1.5663485233488421,0.435
422,1.514003640622434,0.465
423,1.5173285435224488,0.46
424,1.539116152562021,0.465
425,1.5600336544753504,0.48
426,1.4527835858107034,0.455
427,1.5263945066563913,0.49
428,1.4762980796335339,0.455
429,1.4465015160834707,0.47
430,1.5840517252862623,0.43
431,1.5906172926367725,0.44
432,1.5511664116251667,0.485
433,1.8333946588495154,0.35
434,1.6215449291621626,0.425
435,1.7753649142576604,0.325
436,1.6202985560762069,0.44
437,1.6548808356598284,0.425
438,1.760958133582352,0.35
439,1.5728628449995727,0.385
