step,loss,acc
0,2.5606002807617188,0.1328125
100,2.2048425674438477,0.2109375
200,2.474175214767456,0.125
300,2.186923027038574,0.1875
400,2.104326009750366,0.1640625
500,1.7979657649993896,0.3046875
600,2.123908281326294,0.15625
700,1.880473256111145,0.2421875
800,2.1253223419189453,0.1796875
900,1.7566826343536377,0.3046875
1000,2.6063060760498047,0.1171875
1100,2.2810988426208496,0.1953125
1200,2.0383496284484863,0.2578125
1300,1.9213457107543945,0.1875
1400,1.166416883468628,0.5390625
1500,1.1707878112792969,0.5625
1600,1.4235775470733643,0.34375
1700,1.7796223163604736,0.3203125
1800,1.8554719686508179,0.2578125
1900,1.5414667129516602,0.3984375
2000,1.5249958038330078,0.359375
2100,1.85922372341156,0.296875
2200,1.5733829736709595,0.296875
2300,1.486602544784546,0.3203125
2400,1.4533673524856567,0.3046875
2500,1.7120968103408813,0.2578125
2600,2.153510570526123,0.09375
2700,1.880323052406311,0.265625
2800,1.996364712715149,0.234375
2900,1.7406314611434937,0.265625
3000,3.647620677947998,0.078125
3100,1.6821136474609375,0.390625
3200,1.8702664375305176,0.3125
3300,1.6354200839996338,0.296875
3400,1.2467378377914429,0.4609375
3500,1.207511305809021,0.4921875
3600,1.301438331604004,0.40625
3700,1.3857862949371338,0.4609375
3800,1.4478576183319092,0.3125
3900,1.2278668880462646,0.46875
4000,4.844248294830322,0.1328125
4100,1.5319409370422363,0.2421875
4200,1.3452835083007812,0.3828125
4300,1.7718701362609863,0.1875
4400,0.7648617625236511,0.6640625
4500,0.5047041177749634,0.859375
4600,0.7228051424026489,0.6953125
4700,0.7542992234230042,0.6328125
4800,0.8147183060646057,0.53125
4900,0.8094533085823059,0.6328125
