step,loss,acc
0,4.0078840255737305,0.019791666666666666
100,1.2255940437316895,0.634375
200,0.7142937183380127,0.7854166666666667
300,0.3754226267337799,0.8833333333333333
400,0.40694302320480347,0.8739583333333333
500,0.2697139084339142,0.9166666666666666
600,0.3730129897594452,0.8828125
700,0.26659923791885376,0.915625
800,0.33013418316841125,0.9
900,0.24544136226177216,0.9229166666666667
1000,0.3082160949707031,0.9026041666666667
1100,0.2631392180919647,0.9067708333333333
1200,0.2895413935184479,0.9130208333333333
1300,0.2530786693096161,0.9166666666666666
1400,0.3194165527820587,0.9005208333333333
1500,0.2568832337856293,0.9135416666666667
1600,0.265847384929657,0.9145833333333333
1700,0.24683040380477905,0.9229166666666667
1800,0.2941220700740814,0.903125
1900,0.24423152208328247,0.9208333333333333
