step,loss,acc
0,2.6604809761047363,0.0546875
100,1.9699536561965942,0.296875
200,2.425715446472168,0.1015625
300,2.1164286136627197,0.25
400,2.458345651626587,0.1484375
500,2.157466173171997,0.1640625
600,2.508085250854492,0.0703125
700,2.0919501781463623,0.28125
800,2.5016660690307617,0.0703125
900,2.171654462814331,0.171875
1000,2.403386354446411,0.1015625
1100,2.316176652908325,0.1796875
1200,2.338792324066162,0.15625
1300,1.9047136306762695,0.28125
1400,2.0081255435943604,0.1640625
1500,1.9015209674835205,0.28125
1600,2.020888090133667,0.1328125
1700,2.6844398975372314,0.0390625
1800,2.004415512084961,0.234375
1900,1.9409263134002686,0.2265625
2000,2.04349422454834,0.1953125
2100,1.9737666845321655,0.2421875
2200,2.130953311920166,0.21875
2300,1.8549121618270874,0.2890625
2400,2.1927707195281982,0.171875
2500,1.975069284439087,0.3125
2600,2.011418581008911,0.2265625
2700,2.014759063720703,0.2265625
2800,2.124711751937866,0.1953125
2900,1.9148260354995728,0.28125
3000,2.0471999645233154,0.25
3100,1.8507063388824463,0.25
3200,2.0043020248413086,0.1640625
3300,1.8689005374908447,0.21875
3400,1.8727716207504272,0.28125
3500,1.9213253259658813,0.296875
3600,2.0681521892547607,0.1953125
3700,1.7055463790893555,0.3203125
3800,1.9726133346557617,0.203125
3900,1.8523164987564087,0.3046875
4000,1.9554100036621094,0.2265625
4100,1.7883388996124268,0.265625
4200,1.9709758758544922,0.1953125
4300,1.8417572975158691,0.2734375
4400,1.9647223949432373,0.2265625
4500,1.890535593032837,0.265625
4600,2.0628373622894287,0.2578125
4700,1.8260706663131714,0.2578125
4800,1.9245524406433105,0.2421875
4900,1.8350566625595093,0.3125
