step,loss,acc
0,2.386713743209839,0.09375
100,1.8224228620529175,0.25
200,1.463695764541626,0.3125
300,0.7118865251541138,0.6953125
400,0.5769687294960022,0.734375
500,0.31401222944259644,0.90625
600,0.3178007900714874,0.8828125
700,0.03360889479517937,0.9921875
800,0.016796983778476715,0.9921875
900,1.223783254623413,0.65625
1000,0.004241771996021271,1.0
1100,0.0019594356417655945,1.0
1200,0.0011253133416175842,1.0
1300,0.1948239803314209,0.8671875
1400,0.0037903785705566406,1.0
1500,0.0017893016338348389,1.0
1600,0.0009195804595947266,1.0
1700,0.000587165355682373,1.0
1800,0.00034602731466293335,1.0
1900,0.00021572411060333252,1.0
2000,0.00015527009963989258,1.0
2100,8.14199447631836e-05,1.0
2200,5.449354648590088e-05,1.0
2300,3.3311545848846436e-05,1.0
2400,2.0816922187805176e-05,1.0
2500,1.1973083019256592e-05,1.0
2600,7.286667823791504e-06,1.0
2700,4.291534423828125e-06,1.0
2800,2.51084566116333e-06,1.0
2900,1.4454126358032227e-06,1.0
3000,9.015202522277832e-07,1.0
3100,2.7567148208618164e-07,1.0
3200,8.940696716308594e-08,1.0
3300,3.725290298461914e-08,1.0
3400,2.9802322387695312e-08,1.0
3500,7.450580596923828e-09,1.0
3600,0.0,1.0
3700,1.4901161193847656e-08,1.0
3800,0.03443494066596031,1.0
3900,0.005584534257650375,1.0
4000,0.002423752099275589,1.0
4100,0.0012266524136066437,1.0
4200,0.0006908178329467773,1.0
4300,0.00031860172748565674,1.0
4400,0.0001997239887714386,1.0
4500,0.00012163445353507996,1.0
4600,7.423385977745056e-05,1.0
4700,4.60110604763031e-05,1.0
4800,2.752244472503662e-05,1.0
4900,1.7255544662475586e-05,1.0
