step,loss,acc
0,2.796513319015503,0.109375
100,0.7857361435890198,0.7734375
200,0.4629419445991516,0.90625
300,0.34987640380859375,0.9140625
400,0.2883414924144745,0.8515625
500,0.2469882369041443,0.875
600,0.18525439500808716,0.90625
700,0.02504124492406845,1.0
800,0.014107950031757355,1.0
900,0.007464081048965454,1.0
1000,0.0038390159606933594,1.0
1100,0.0019247233867645264,1.0
1200,0.001304231584072113,1.0
1300,0.000673733651638031,1.0
1400,0.00035388022661209106,1.0
1500,0.5032245516777039,0.75
1600,0.16194626688957214,0.9140625
1700,0.003123141825199127,1.0
1800,0.0017593353986740112,1.0
1900,0.0009016916155815125,1.0
2000,0.0006643831729888916,1.0
2100,0.0004273131489753723,1.0
2200,0.0003496035933494568,1.0
2300,0.0002012103796005249,1.0
2400,0.00015629827976226807,1.0
2500,0.00010339915752410889,1.0
2600,6.69434666633606e-05,1.0
2700,4.267692565917969e-05,1.0
2800,2.5585293769836426e-05,1.0
2900,1.7210841178894043e-05,1.0
3000,1.1317431926727295e-05,1.0
3100,6.735324859619141e-06,1.0
3200,4.112720489501953e-06,1.0
3300,2.3245811462402344e-06,1.0
3400,1.3262033462524414e-06,1.0
3500,5.364418029785156e-07,1.0
3600,2.5331974029541016e-07,1.0
3700,5.960464477539063e-08,1.0
3800,0.2266155481338501,0.9609375
3900,0.0019018575549125671,1.0
4000,0.0005600824952125549,1.0
4100,0.00021791458129882812,1.0
4200,0.0001135021448135376,1.0
4300,5.774945020675659e-05,1.0
4400,2.7589499950408936e-05,1.0
4500,2.4050474166870117e-05,1.0
4600,1.1377036571502686e-05,1.0
4700,9.916722774505615e-06,1.0
4800,5.953013896942139e-06,1.0
4900,4.060566425323486e-06,1.0
