step,loss,acc
0,2.6281888484954834,0.109375
100,2.0696933269500732,0.25
200,2.6027581691741943,0.0859375
300,2.1301937103271484,0.1953125
400,2.5907368659973145,0.0859375
500,2.0558910369873047,0.2734375
600,2.56138277053833,0.1328125
700,2.096329689025879,0.25
800,2.390622615814209,0.125
900,1.8103529214859009,0.25
1000,2.371428966522217,0.1484375
1100,1.9853665828704834,0.28125
1200,1.9379080533981323,0.1875
1300,1.7074863910675049,0.28125
1400,1.6023439168930054,0.2578125
1500,1.4107389450073242,0.3828125
1600,1.4140331745147705,0.2578125
1700,1.2098302841186523,0.4375
1800,1.1326324939727783,0.546875
1900,1.4080692529678345,0.3671875
2000,1.7836318016052246,0.2578125
2100,1.6059656143188477,0.3046875
2200,3.2586255073547363,0.09375
2300,2.2025680541992188,0.1640625
2400,2.3279099464416504,0.1328125
2500,1.9591307640075684,0.2421875
2600,2.135894298553467,0.15625
2700,1.9690481424331665,0.2109375
2800,1.9106247425079346,0.203125
2900,1.68437659740448,0.2890625
3000,1.71421217918396,0.28125
3100,2.244028091430664,0.15625
3200,2.3286755084991455,0.0625
3300,2.2675464153289795,0.1484375
3400,2.449561834335327,0.046875
3500,2.218657970428467,0.1484375
3600,2.3291015625,0.0859375
3700,2.2773337364196777,0.1484375
3800,2.268653631210327,0.1484375
3900,2.2684717178344727,0.1484375
4000,2.4496142864227295,0.1015625
4100,2.2349460124969482,0.15625
4200,2.4208569526672363,0.0859375
4300,2.0655031204223633,0.2109375
4400,2.215991973876953,0.1796875
4500,1.8224838972091675,0.3046875
4600,2.150261163711548,0.125
4700,1.9122295379638672,0.234375
4800,1.9420230388641357,0.203125
4900,1.7841042280197144,0.3046875
