step,loss,acc
0,2.3727407455444336,0.0703125
100,2.1771504878997803,0.234375
200,2.4139418601989746,0.0859375
300,2.273171901702881,0.1640625
400,2.354689359664917,0.1328125
500,2.2578742504119873,0.1484375
600,2.4492104053497314,0.1171875
700,2.244335889816284,0.15625
800,2.41568660736084,0.125
900,2.286297082901001,0.1640625
1000,2.3464441299438477,0.1171875
1100,2.2711853981018066,0.125
1200,2.376760482788086,0.078125
1300,2.2547762393951416,0.1484375
1400,2.357052803039551,0.1171875
1500,2.158709764480591,0.203125
1600,2.413470506668091,0.078125
1700,2.1678295135498047,0.21875
1800,2.3553826808929443,0.109375
1900,2.253187656402588,0.1328125
2000,2.3856070041656494,0.109375
2100,2.2283401489257812,0.1875
2200,2.2679831981658936,0.140625
2300,2.0762367248535156,0.234375
2400,1.8439249992370605,0.1796875
2500,1.6562453508377075,0.1796875
2600,1.2667317390441895,0.2734375
2700,2.013867139816284,0.15625
2800,1.4419444799423218,0.078125
2900,1.5591189861297607,0.1171875
3000,1.1014201641082764,0.28125
3100,1.0484694242477417,0.25
3200,0.6097877621650696,0.8359375
3300,0.6887167692184448,0.5078125
3400,1.4202525615692139,0.1484375
3500,0.5954692363739014,0.8125
3600,0.9060705900192261,0.46875
3700,0.5860906839370728,0.765625
3800,0.5742621421813965,0.6640625
3900,0.46632444858551025,0.828125
4000,0.22993722558021545,0.984375
4100,0.16092154383659363,0.9921875
4200,0.6662266850471497,0.7265625
4300,0.11359962821006775,0.984375
4400,0.07639589160680771,0.9921875
4500,0.03943010792136192,1.0
4600,0.4442756474018097,0.859375
4700,0.0657578706741333,0.984375
4800,1.4565551280975342,0.546875
4900,0.11389866471290588,0.9765625
